학부,표준과정,사업별 교육체계,교육유형,학습유형,교육과정명,공개여부,학습시간,특화 직무 및 Skill set,추천 직무 및 Skill set,공통 필수 직무 및 Skill set,,URL
Cloud,Well Architecture (아키텍쳐 입문),,사내과정,오프라인집합,Infra/Cloud Architecture on AWS,공개,16,Architect - Technical Archi.; Cloud/Infra - System/Network,Cloud/Infra - Data Center; PM - Infra PM,,,https://samsungu.ac.kr/lecture/gg1puupp
Cloud,Well Architecture (아키텍쳐 입문),,사내과정,오프라인집합,Infra/Cloud Architecture on Azure,공개,8,Architect - Technical Archi.; Cloud/Infra - System/Network,Cloud/Infra - Data Center; PM - Infra PM,,,https://edu.samsung.com/program/tpmi8ok2
Cloud,Mgmt. System 활용,,사내과정,오프라인집합,모니터링 솔루션의 적용,공개,8,Cloud/Infra - System/Network,Architect - Technical Archi.; Cloud/Infra - Data Center,,,https://academy.samsung.com/education/enze1n6d
Cloud,컨테이너 플랫폼 활용,,사내과정,오프라인집합,ZCP (SK Container Platform) 컨테이너 관리 플랫폼 아키텍처 이해와 활용(Hands-On),공개,4,Cloud/Infra - System/Network,Architect - Application Archi.; Cloud/Infra - Middleware/Database; Software - Front-end,,,https://samsungu.ac.kr/lecture/agex1nb5
Cloud,컨테이너 DevOps,,사내과정,오프라인집합,AMDP (DevOps) 표준개발체계 이해 및 활용(Hands-On),공개,4,Cloud/Infra - System/Network,,,,https://academy.samsung.com/program/w7k4t6j4
Cloud,Cache/Queue 활용,,사내과정,오프라인집합,APIM 기반의 API Gateway 이해와 활용,공개,4,Cloud/Infra - Middleware/Database,Architect - Technical Archi.; Cloud/Infra - System/Network; PM - Infra PM,,,https://edu.samsung.com/lecture/b8o2qax1
Cloud,DBMS 활용,,사내과정,오프라인집합,ZDB 를 활용한 DB 서비스 생성과 활용,공개,4,Cloud/Infra - Middleware/Database,Architect - Technical Archi.; Cloud/Infra - System/Network,,,https://academy.samsung.com/education/ggxax2xk
Cloud,Cloud 시스템 관리,,사내과정,오프라인집합,OPMATE (서버 자동화 솔루션) 활용,공개,8,Architect - Technical Archi.; Cloud/Infra - System/Network,,,,https://academy.samsung.com/education/28mmkwkh
Cloud,Cloud 시스템 관리,,사내과정,오프라인집합,Hybrid Cloud 운영 자동화 플랫폼 활용,공개,4,Architect - Technical Archi.; Cloud/Infra - System/Network,,,,https://academy.samsung.com/education/muoopdny
Cloud,Cloud Computing 실무,,사내과정,오프라인집합,그룹 공용 Infra Zone(SKPC) Architecture 및 활용,공개,8,Architect - Technical Archi.; Cloud/Infra - System/Network,Architect - Application Archi.; Software - Front-end; PM - Infra PM,,,https://edu.samsung.com/course/e8atc0q3
Cloud,AI-driven Development,,사내과정,오프라인집합,AI Coding on AWS,공개,8,Cloud/Infra - Middleware/Database,Cloud/Infra - System/Network; Software - Front-end,,,https://academy.samsung.com/program/hsqd5w0g
Cloud,AI on Cloud,,사내과정,오프라인집합,MLOps on AWS,공개,4,Cloud/Infra - System/Network,AIX - AI/Data Dev.; Architect - Technical Archi.; Biz. Consulting - ERP; PM - Infra PM; Solution - ERP Dev.,,,https://academy.samsung.com/training/hve4t89y
Cloud,AI on Cloud,,사내과정,오프라인집합,(Generative) AI 서비스 이해 및 활용 on AWS,공개,4,Cloud/Infra - System/Network,AIX - AI/Data Dev.; Architect - Technical Archi.; Biz. Consulting - ERP; PM - Infra PM; Solution - ERP Dev.,,,https://edu.samsung.com/learning/zquyrwi1
Cloud,AI on Cloud,,사내과정,오프라인집합,(Generative) AI 서비스 이해 및 활용 on Azure,공개,4,Cloud/Infra - System/Network,AIX - AI/Data Dev.; Architect - Technical Archi.; Biz. Consulting - ERP; PM - Infra PM; Solution - ERP Dev.,,,https://samsungu.ac.kr/course/fyiobx4w
Cloud,Data Center 실무,,사내과정,오프라인집합,AI DC 구축을 위한 인프라 아키텍처 설계 및 MLOps 플랫폼의 이해,공개,8,Cloud/Infra - Data Center,Cloud/Infra - System/Network,,,https://samsungu.ac.kr/course/2zcnkmw4
Cloud,Data Cloud,,사내과정,오프라인집합,Lakehouse 개념 및 아키텍처 이해,공개,8,Cloud/Infra - Middleware/Database,Architect - Technical Archi.; Cloud/Infra - System/Network; PM - Infra PM,,,https://learning.samsung.com/lecture/9380i978
Cloud,AI-driven Development,,사내과정,오프라인집합,AI Agent 구조 이해 및 활용,공개,8,Cloud/Infra - Middleware/Database,Cloud/Infra - System/Network; Software - Front-end,,,https://academy.samsung.com/course/c3gq662c
Cloud,AI on Cloud,,사내과정,오프라인집합,Kubeflow/MLFlow 기반의 MLOps 이해 및 활용,공개,8,Cloud/Infra - System/Network,AIX - AI/Data Dev.; Architect - Technical Archi.; Biz. Consulting - ERP; PM - Infra PM; Solution - ERP Dev.,,,https://academy.samsung.com/learning/thzqlysy
Cloud,SaaS & ISV,,사내과정,오프라인집합,Databricks Lakehouse Platform 이해 및 실습,공개,8,Cloud/Infra - System/Network,Architect - Technical Archi.; Cloud/Infra - Data Center; PM - Infra PM,,,https://samsungu.ac.kr/lecture/qx6af1wb
Cloud,SaaS & ISV,,사내과정,오프라인집합,IBM 생성형 AI 이해 및 실습(Watson X),공개,8,Cloud/Infra - System/Network,Architect - Technical Archi.; Cloud/Infra - Data Center; PM - Infra PM,,,https://learning.samsung.com/training/8e4m2f3w
Cloud,Data Cloud,,사내과정,오프라인집합,데이터 엔지니어링 심화,공개,16,Cloud/Infra - Middleware/Database,Architect - Technical Archi.; Cloud/Infra - System/Network; PM - Infra PM,,,https://edu.samsung.com/course/ohckgg3e
Cloud,Data Cloud,,사내과정,오프라인집합,AWS 데이터엔지니어링 비정형 데이터 처리(Spark),공개,8,Cloud/Infra - Middleware/Database,Architect - Technical Archi.; Cloud/Infra - System/Network; PM - Infra PM,,,https://edu.samsung.com/training/c494w4f7
Cloud,Cloud Computing 실무,,사내과정,오프라인집합,Pricing and Billing Operations on AWS,공개,4,Architect - Technical Archi.; Cloud/Infra - System/Network,Architect - Application Archi.; Software - Front-end; PM - Infra PM,,,https://learning.samsung.com/program/nj8jze3z
Cloud,Cache/Queue 기본,,사내과정,오프라인집합,Cache 기본,공개,8,,,,,https://edu.samsung.com/education/pk6uoerl
Cloud,Data Center 실무,,mySUNI,온라인집합, AI Trend와 AI DC 산업 전망,공개,0.67,Cloud/Infra - Data Center,Cloud/Infra - System/Network,,,https://learning.samsung.com/program/zwur4qi8
Cloud,Data Center 실무,,mySUNI,온라인집합,AI Data Center 시장 특집,공개,0.67,Cloud/Infra - Data Center,Cloud/Infra - System/Network,,,https://learning.samsung.com/lecture/5qkeqwaf
